Topic,Category,Level,Resource,Author / Provider,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
AI,Applied / Domain-Specific Resources,Intermediate,Asabenhur: Github ,Sarath Sreedharan,N/A,N/A,1,N,Supporting information for introductory Machine Learning,https://github.com/sarathsreedharan/CS345
AI,Video Courses / Structured Learning Paths,Advanced,Code Academy: Data and Programming Foundations for AI,Code Academy ,N/A,N/A,1,N,Learning foundational AI skills and implementing python into AI coding ,https://www.codecademy.com/learn/paths/machine-learning-ai-engineering-foundations
AI,Video Courses / Structured Learning Paths,New to Programming,Code Academy: Intro to Vibe Coding,Code Academy,N/A,N/A,2,N,Learning how to effectively vibe code,https://www.codecademy.com/learn/intro-to-vibe-coding
AI,Video Courses / Structured Learning Paths,New to Programming,CodeAcademy: Learn Prompt Engineering,Code Academy,N/A,N/A,2,N,Effectively generating AI Prompts,https://www.codecademy.com/learn/learn-prompt-engineering
AI,Applied / Domain-Specific Resources,Intermediate,Haonen Chen: Github,Haonen Chen,N/A,N/A,1,N,Learning to utilize software that assists with iterative development and AI review ,https://github.com/haonan16/duo
AI,Video Courses / Structured Learning Paths,Beginner,Introduction to Artificial Intelligence,Sage Campus,N/A,N/A,1,N,Accessing Fundamental AI skills ,https://classroom.sagepub.com/course/view.php?id=67
AI,Applied / Domain-Specific Resources,Advanced,Jeff Nieman: Github,Jeff Nieman,N/A,N/A,1,N,Learning how to apply code to AI and Modeling,https://github.com/jeff-niemann/
AI,Applied / Domain-Specific Resources,Intermediate,Jesse Burkhardt: Website ,Jesse Burkhardt ,N/A,N/A,1,N,Learning more about air pollution monitoring and econometric analysis,https://sites.google.com/site/burkhaj/home/research?authuser=0
AI,Applied / Domain-Specific Resources,Beginner,Sarathsreedharan: Github ,Sarath Sreedharan,N/A,N/A,1,N, learning how to use machine learning,https://github.com/sarathsreedharan/CSU_CS_445
AI,Applied / Domain-Specific Resources,Advanced,Sarathsreedharan: Github ,Sarath Sreedharan,N/A,N/A,2,N,Coding for machine learning,https://github.com/sarathsreedharan/ModelLearner
AI,Applied / Domain-Specific Resources,Intermediate,Tristachi: Github,Ravi Mangal,N/A,N/A,1,N,Learning how to use a dataset to train AI,https://github.com/SharedControlAutonomousDriving/scad_tot
AI,Applied / Domain-Specific Resources,Advanced,Xinran Wang: Github,Xinran Wang,N/A,N/A,1,N,Developing Human Related AI skills,https://github.com/wang8740/MAP
Bash,Books / eBooks,Intermediate,Awesome-Bash: Gitub,Awesome-Bash,N/A,N/A,1,N,Accessing Bash Scripts and useful resources ,https://github.com/awesome-lists/awesome-bash
Bash,Online Courses / Structured Learning Paths,Beginner,Bash/Shell Courses,CodeAcademy,N/A,N/A,1,N,Learning the basics of bash coding,
Bash,Online Courses / Structured Learning Paths,Advanced,CodeAcademy: Software Engineering for Data Scientists,CodeAcademy,N/A,N/A,1,N,Getting a certification focused on software engineering using Bash and Python coding ,https://www.codecademy.com/learn/paths/software-engineering-for-data-scientists
Bash,Online Courses / Structured Learning Paths,Intermediate,CodeAcedemy: Learn Bash Scripting ,CodeAcademy,N/A,N/A,2,N,Learning to script code with Bash,https://www.codecademy.com/learn/bash-scripting
Bash,Books / eBooks,Intermediate,dylanaraps: Github,dylanaraps,N/A,N/A,1,N,Using built in bash processes to make codes run more efficient and reduce depencies on scripts ,https://github.com/dylanaraps/pure-bash-bible
Bash,Online Courses / Structured Learning Paths,Beginner,Getting Started Off - Platform for Data Science,Code Academy ,N/A,N/A,1,N,Using Bash to work on data science related work on your computer ,
Bash,Online Courses / Structured Learning Paths,Beginner,Learn the Command line ,CodeAcademy,N/A,N/A,1,N,learning to use the command line for file management,
Bash,Books / eBooks,Intermediate,LinuxConfig: Bash Scripting Tutorial For Beginners,LinuxConfig,N/A,N/A,1,N,Understanding the basics of Bash Scripts ,https://linuxconfig.org/bash-scripting-tutorial-for-beginners
Bash,Video Courses / Structured Learning Paths,Beginner,Miicrosoft Developer: Bash for Beginners,Microsoft,N/A,N/A,1,N,"Getting the basics of bash coding and some important applications, shell",https://www.bing.com/videos/search?q=Bash+for+Beginners+Series+by+Microsoft+Developer&FORM=VRPATC
Bash,Books / eBooks,Intermediate,onceupon: Github,onceupon ,N/A,N/A,2,N,Accessing 1 Line bash codes for efficiency,https://github.com/onceupon/Bash-Oneliner
Bash,Documentation / Reference / Practice,Intermediate,Version Control with GIT,Carpentry,N/A,N/A,1,N,Learning to use Version Control and applications of it,https://swcarpentry.github.io/git-novice/
C/C++,Online Courses / Structured Learning Paths,Beginner - Advanced,C++ Courses,Code Academy ,N/A,N/A,1,N,Accessing a Variety of C & C ++ Coding Resources,https://www.codecademy.com/catalog/language/c-plus-plus
C/C++,Online Courses / Structured Learning Paths,Intermediate,CodeAcademy: C# Courses,Code Academy ,N/A,N/A,3,N,Learning how to use C# ,https://www.codecademy.com/catalog/language/c-sharp?g_network=o&g_productchannel=&g_adid=&g_locinterest=&g_keyword=c%23%20course&g_acctid=243-039-7011&g_adtype=&g_keywordid=kwd-79508828698092:loc-4085&g_ifcreative=&g_campaign=account&g_locphysical=94007&g_adgroupid=1272135574815019&g_productid=&g_source=%7bsourceid%7d&g_merchantid=&g_placement=&g_partition=&g_campaignid=370314508&g_ifproduct=&utm_id=t_kwd-79508828698092:loc-4085:ag_1272135574815019:cp_370314508:n_o:d_c&msclkid=b3aaebd84a3d1750399581ce49575358&utm_source=bing&utm_medium=cpc&utm_campaign=US%20-%20Exact&utm_term=c%23%20course&utm_content=C%23
