Topic,Category,Level,Resource,Author / Provider,Course Code ,Prerequisite,Priority in Website ,CSU Class,Best for (goal),Link,URL Link,Use in Website Y/M,Notes 
Excel,Online Courses / Structured Learning Paths,Beginner,Code Academy: Analyze Data with Microsoft Excel,Code Academy ,N/A,N/A,1,N,Learning how to visualize and analyze data in excel spreadsheets ,Analyze Data with Microsoft Excel | Codecademy,https://www.codecademy.com/learn/analyze-data-with-microsoft-excel-2021,Y,Has some good intermediate excel applications such as visualization 
AI,Video Courses / Structured Learning Paths,Advanced,Code Academy: Data and Programming Foundations for AI,Code Academy ,N/A,N/A,1,N,Learning foundational AI skills and implementing python into AI coding ,Data and Programming Foundations for AI | Codecademy,https://www.codecademy.com/learn/paths/machine-learning-ai-engineering-foundations,Y,Good Intermediate - Advanced material for python & AI. 
Excel,Video Courses / Structured Learning Paths,Beginner,Code Academy: Excel Basics,Code Academy ,N/A,N/A,1,N,Learning to use basic Excel functions ,Excel Basics | Codecademy,https://www.codecademy.com/learn/excel-basics-course,M,Multiple courses like this already provided. May have to choose which to pick from 
AI,Video Courses / Structured Learning Paths,New to Programming,Code Academy: Intro to Vibe Coding,Code Academy,N/A,N/A,2,N,Learning how to effectively vibe code,Just a moment...,https://www.codecademy.com/learn/intro-to-vibe-coding,M,Could be good but we might not want to use it to teach students... 
N/A,Online Courses / Structured Learning Paths,New to Programming,Code Foundations,Code Academy ,N/A,N/A,1,N,Getting a strong all around foundation for coding as well as a certification ,Code Foundations | Codecademy,https://www.codecademy.com/learn/paths/code-foundations,Y,good for beginner coders may not be super specific to any certain language 
C/C++,Online Courses / Structured Learning Paths,Intermediate,CodeAcademy: C# Courses,Code Academy ,N/A,N/A,3,N,Learning how to use C# ,C# (C Sharp) Courses & Tutorials | Codecademy,https://www.codecademy.com/catalog/language/c-sharp?g_network=o&g_productchannel=&g_adid=&g_locinterest=&g_keyword=c%23%20course&g_acctid=243-039-7011&g_adtype=&g_keywordid=kwd-79508828698092:loc-4085&g_ifcreative=&g_campaign=account&g_locphysical=94007&g_adgroupid=1272135574815019&g_productid=&g_source=%7bsourceid%7d&g_merchantid=&g_placement=&g_partition=&g_campaignid=370314508&g_ifproduct=&utm_id=t_kwd-79508828698092:loc-4085:ag_1272135574815019:cp_370314508:n_o:d_c&msclkid=b3aaebd84a3d1750399581ce49575358&utm_source=bing&utm_medium=cpc&utm_campaign=US%20-%20Exact&utm_term=c%23%20course&utm_content=C%23,M,Good intro tutorial course but it is not focused on C or C++ 
AI,Video Courses / Structured Learning Paths,New to Programming,CodeAcademy: Learn Prompt Engineering,Code Academy,N/A,N/A,2,N,Effectively generating AI Prompts,Learn Prompt Engineering | Codecademy,https://www.codecademy.com/learn/learn-prompt-engineering,M,Good for learning how to us AI but not for coding with AI 
Bash,Online Courses / Structured Learning Paths,Advanced,CodeAcademy: Software Engineering for Data Scientists,CodeAcademy,N/A,N/A,1,N,Getting a certification focused on software engineering using Bash and Python coding ,Software Engineering for Data Scientists | Codecademy,https://www.codecademy.com/learn/paths/software-engineering-for-data-scientists,Y,Contains other coding softwares such as Python & Command line. Software engineering certification. seems like an all encompassing Course which could be good 
Bash,Online Courses / Structured Learning Paths,Intermediate,CodeAcedemy: Learn Bash Scripting ,CodeAcademy,N/A,N/A,2,N,Learning to script code with Bash,Learn Bash Scripting | Codecademy,https://www.codecademy.com/learn/bash-scripting,M,"Strong introduction Course for Bash, free; and open access . We may have some more robust courses already "
SQL,Online Courses / Structured Learning Paths,Beginner,Codefinity: Introduction to SQL ,Codefinity,N/A,N/A,2,N,Understanding the basics of SQL ,Introduction to SQL Course - Online Learning with Certificate,https://codefinity.com/courses/v2/b3ddb247-eebc-4cd4-a859-0d9c1428d0bf?utm_source=bing&utm_medium=cpc&utm_campaign=569548026&utm_content=1174280248644706&utm_term=how%20to%20use%20sql%20for%20beginners&msclkid=791b78ad00c31701f51412bbfcb884b8,Y,
SQL,Online Courses / Structured Learning Paths,Intermediate,Codez Up: SQL for big data: Handling Large Scale Datasets,Codez up,N/A,N/A,1,N,Applying basic coding languages to large scale SQL datasets ,SQL for Big Data: Handling Large-Scale Data Sets,https://codezup.com/sql-for-big-data-handling-large-scale-data-sets/,Y,Excellent advanced application for coding knowledge in all languages 
Python,Applied / Domain-Specific Resources,Beginner,Coding and Cookies: Python,Coding and Cookies,N/A,N/A,1,N,Accessing python coding resources such as workshops and online lessons,Python - Coding and Cookies - Research Guides at Colorado State University Fort Collins,https://libguides.colostate.edu/coding-cookies/python,Y,Good all around resource for learning python and getting help 
R,Applied / Domain-Specific Resources,Beginner,Coding and Cookies: R,Coding and Cookies,N/A,N/A,1,N,Accessing introductory R Material and Online resources,,https://libguides.colostate.edu/coding-cookies/r,Y,Good resource for learning R and getting help 
R,Applied / Domain-Specific Resources,Advanced,CUAHSI Hydroinformatics Portal,CUAHSI,N/A,N/A,1,N,Water data science; hydroinformatics,,https://water-content-portal.cuahsi.io/hydroinformatics/,M,Appears to be a good source of information but it may be to specific 
Matlab,Online Courses / Structured Learning Paths,Intermediate,Data Analysis in Matlab ,Matlab Help Center ,N/A,N/A,1,N,Learning how to analyze complex datasets for broad applications,https://matlabacademy.mathworks.com/details/data-analysis-in-matlab/lpmldam,https://matlabacademy.mathworks.com/details/data-analysis-in-matlab/lpmldam,Y,Excelent for learning how to apply matlab concepts 
C/C++,Applied / Domain-Specific Resources,Advanced,Dharma Hoy: Github,Dharma Hoy,N/A,N/A,1,N,Using C++ to create a github package,dharmahoy/STAT600-HW1-SimpLinHoy: Creation of SimpLin Rcpp package for STAT 600 HW1,https://github.com/dharmahoy/STAT600-HW1-SimpLinHoy,M,"Code was mainly for the use of sharing a package but this has the package creation code and accessing within it, could be a little confusing for some. "
Geospatial,Applied / Domain-Specific Resources,Intermediate,Dharma Hoy: Github,Dharma Hoy,N/A,N/A,2,N,Use R studio for various GIS and game making applications,dharmahoy/STAT600-HW1-SimpLinHoy: Creation of SimpLin Rcpp package for STAT 600 HW1,https://github.com/dharmahoy/STAT600-HW1-SimpLinHoy,M,"May be to specific of an R application, howver it promises strong coding benefits "
Python,Books / eBooks,Intermediate,Dive Into Python 3,Mark Pilgrim,N/A,N/A,2,N,Deepening your understanding of Python,https://diveintopython3.net/,https://diveintopython3.net/,Y,Has material ranging from installling python to case study applications 
C/C++,Applied / Domain-Specific Resources,Advanced,dsoprea: github,dsoprea:github ,N/A,N/A,1,N,Using C++ to filter through a website for key information ,"dsoprea/QtExample: A QT C++ development example showcasing API access, webpage embedding, webpage content analysis, GPS polling, and Bluetooth scanning.",https://github.com/dsoprea/QtExample,Y,Good C course that may also have some SQL Applications 
Bash,Books / eBooks,Intermediate,dylanaraps: Github,dylanaraps,N/A,N/A,1,N,Using built in bash processes to make codes run more efficient and reduce depencies on scripts ,dylanaraps/pure-bash-bible: 📖 A collection of pure bash alternatives to external processes.,https://github.com/dylanaraps/pure-bash-bible,Y,"This is the Bash Bible, can be good for upper level Bash learning but may be overwhelming for initial learning "
Geospatial,Applied / Domain-Specific Resources,Beginner,Elizabeth Tulanowski: Github ,Elizabeth Tulanowski,N/A,N/A,1,N," Learning foundational python skills, including data analysis and data acquisition ",hethbill/PythonSamples: Simple Python samples to share with students,https://github.com/hethbill/PythonSamples,M,Excelent instructor with beneficial materials. Not course oriented though 
R,Books / eBooks,Intermediate,Ellison Carter: Google Scholar,Ellison Carter,N/A,N/A,1,N,Learning air pollutation tracking concepts,‪Ellison Carter‬ - ‪Google Scholar‬,https://scholar.google.com/citations?user=q0hxm_gAAAAJ&hl=en,M,Research Paper may not contain all necessary code 
HPC,Applied / Domain-Specific Resources,Advanced,Erin Nishimura: github,Erin Nishimura,N/A,N/A,1,N,Learning how to create scripts and analyzing data for biological applications,"erinosb/RAS-MAPK-Mitosis: Companion scripts, software, and data analysis to: Hyper-active RAS/MAPK introduces cancer-specific mitotic vulnerabilities",https://github.com/erinosb/RAS-MAPK-Mitosis,M,"Specific application, may not be fully applicable to learning HTML code "
N/A,Applied / Domain-Specific Resources,Advanced,Erin Nishimura: github,Erin Nishimura,N/A,N/A,,N,Learning biological coding appllications from CSU DSCI 512 course,"erinosb/2024_RNAseq_PE_array: DSCI512: 2024: Course pipeline with quality control, alignment, tabulation, and format conversion for paired-end, short read RNA-seq projects. New this year - run in ARRAY format",https://github.com/erinosb/2024_RNAseq_PE_array,M,
Geospatial,Books / eBooks,Beginner,Essentials of Geographic Information Systems,Open Textbook LIbrary,N/A,N/A,1,N,Introductory book for mapping and GIS ,Essentials of Geographic Information Systems - Open Textbook Library,https://open.umn.edu/opentextbooks/textbooks/67,Y,Excellent all around introductory geospatial material 
HTML,Applied / Domain-Specific Resources,Intermediate,Evan Anspach: Github,Evan Anspach,N/A,N/A,1,N,Understanding HTML Code and how it can be used ,Abalone/README.md · master · Data Science Dojo / datasets · GitLab,https://code.datasciencedojo.com/datasciencedojo/datasets/-/blob/master/Abalone/README.md?ref_type=heads,M,"Good course, we will need to look at the different HTML courses we have. "
Python,Applied / Domain-Specific Resources,Beginner,Evan Anspach: Github,Evan Anspach,N/A,N/A,1,N,Practicing Python Code ,https://github.com/Evanans/CS150B-Lab-Instructions,https://github.com/Evanans/CS150B-Lab-Instructions,Y,Good to practice python related skillls 
Excel,Applied / Domain-Specific Resources,Beginner,Excel Functions: Complete List by Category,Spreadsheet Planet ,N/A,N/A,1,N,Learning about different types of excel functions ,Excel Functions: Complete List by Category,https://spreadsheetplanet.com/excel-functions/,Y,Very nice introductory cmaterial 
Python,Documentation / Reference / Practice,Beginner,GeeksforGeeks Python Tutorial,GeeksforGeeks,N/A,N/A,2,N,Getting a general overview of python coding,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/,M,May not contain a ton of information like some other resources 
Unix,Books / eBooks,New to Programming,GeeksforGeeks: Introduction to Unix System,GeeksforGeeks,N/A,N/A,1,N,Developing a basic understanding of Unix Code,what is Unix Coding - Search,https://www.geeksforgeeks.org/linux-unix/introduction-to-unix-system/,Y,All Unix Courses are good for intro level Unix coding. I am working on finding more advanced applications. 
Geospatial,Applied / Domain-Specific Resources,Beginner - Advanced,Geo University Online Platform (Pay Wall) ,Geo University,N/A,N/A,1,N,Accessing any and all GIS materials ,GIS and Earth Observation University,https://www.geo.university/,Y,Wide array of GIS materials for all levels of learning. courses inside are specific to  certain concepts. 
Geospatial,Video Courses / Structured Learning Paths,Beginner,Geospatial Data Science with R ,Watch&Learn with Dr. XP,N/A,N/A,1,N,Learning to use R Studio for GIS applications ,Video Trailer: Geospatial Data Science with R (Online Course),https://www.youtube.com/watch?v=sDYUUzyaUM8&list=PLn_S1vjm5cr29NH4BwcgG-K31_VG6dgtm,Y,Good for learning more intermediate applications of R 
Bash,Online Courses / Structured Learning Paths,Beginner,Getting Started Off - Platform for Data Science,Code Academy ,N/A,N/A,1,N,Using Bash to work on data science related work on your computer ,,https://www.codecademy.com/learn/getting-started-off-platform-for-data-science,Y,Relevant course material for our purposes in BASH 
Geospatial,Applied / Domain-Specific Resources,Beginner,GIS Basics (Log in required) ,ESRI,N/A,N/A,1,N,Learning basic GIS skills via ArcGIS ,GIS Basics | Esri Training Web Course,https://www.esri.com/training/catalog/5d9cd7de5edc347a71611ccc/gis-basics/,Y,Exceelent introductory course for GIS 
Geospatial,Online Courses / Structured Learning Paths,Intermediate,GIS For Natural Resource Management,University of Minnesota,N/A,N/A,2,N,Accessing supplementary course materials on GIS ,FNRM 3131 (On-line) - GIS For Natural Resource Management | GIS Courses,https://giscourses.cfans.umn.edu/fnrm3131,Y,This is a very good couse for GIS that is not paywalled 
R,Online Courses / Structured Learning Paths,Beginner,Guarav Jetly: Github,Guarav Jetly,N/A,N/A,2,N,Accessing foundational tools for R through workshop ,gauravjetley/R-Programming-workshop,https://github.com/gauravjetley/R-Programming-workshop,Y,very nice R concept introduction 
Matlab,Applied / Domain-Specific Resources,Advanced,Hack Your Carbon Impact Workshop: Carbon Footprint Calculator & Action Tracker,werixx1,N/A,N/A,2,N,Learning how to utilize Matlab for climate action applications,,https://github.com/werixx1/CarbonImpactTracking_MATLAB_EXPO_2025,Y,"Can serve as a good example application of Matlab, has tutorial information as well "
Matlab,Online Courses / Structured Learning Paths,Beginner,Handle Inconsistent and Unstructured Data Files ,Matlab Help Center ,N/A,N/A,1,N,Learning how to clean data and make it organized ,https://matlabacademy.mathworks.com/details/handle-inconsistent-and-unstructured-data-files/lpmlhiu,https://matlabacademy.mathworks.com/details/handle-inconsistent-and-unstructured-data-files/lpmlhiu,Y,Good data science related matlab courses 
R,Books / eBooks,Beginner,Hands-On Programming with R,Garrett Grolemund,N/A,N/A,1,N,Learning programming fundamentals in R,https://rstudio-education.github.io/hopr/,https://rstudio-education.github.io/hopr/,Y,Excellent introductory R materials 
AI,Applied / Domain-Specific Resources,Intermediate,Haonen Chen: Github,Haonen Chen,N/A,N/A,1,N,Learning to utilize software that assists with iterative development and AI review ,haonan16/duo,https://github.com/haonan16/duo,Y,Good AI Application that isn't paywalled! 
Geospatial,Applied / Domain-Specific Resources,Intermediate,Haonen Chen: Github,Haonen Chen,N/A,N/A,2,N,Learning to use Python for remote sensing and grounding applications using Mast3r software,haonan16 (Haonan Chen),https://github.com/haonan16,Y,May be to specific but can provide a good application for python and GIS 
Python,Applied / Domain-Specific Resources,Advanced,Haonen Chen: Github,Haonen Chen,N/A,N/A,1,N,Python applications for AI and robot learning,haonan16/duo,https://github.com/haonan16/duo,Y,Relevant and complex applications 
Python,Applied / Domain-Specific Resources,Advanced,Haonen Chen: Github,Haonen Chen,N/A,N/A,1,N,Utilizing Python to detect 2d Pixels in 3d spaces,haonan16/duo,https://github.com/haonan16/duo,M,May be to specific/complex of an applicaiton
Python,Applied / Domain-Specific Resources,Advanced,Haonen Chen: Github,Haonen Chen,N/A,N/A,2,N,Utilizing Python for robot learning,haonan16/duo,https://github.com/haonan16/duo,Y,Good advanced application of Python 
HTML,Online Courses / Structured Learning Paths,Intermediate,How to Deploy a Website,Code Academy ,N/A,N/A,1,N,Learning the different website deploying pages and how to use them ,How to Deploy a Website | Codecademy,https://www.codecademy.com/learn/deploy-a-website,Y,good for introductory coders to understand how to deploy websites for differnet purposes 
HPC,Online Courses / Structured Learning Paths,Beginner,HPC Lab: HPC Launch Workshop,HPC Lab,N/A,N/A,1,N,Learning HPC Code and best practices for using it ,launch-requirements – HPC Lab,https://hds-sandbox.github.io/HPC-lab/workshop/launch-requirements.html,Y,Good to provide a broad overview of HPC and generate coding fluency. Can open doors for applications of interest with students
HTML,Online Courses / Structured Learning Paths,Beginner - Advanced,HTML Learning Courses,Code Academy ,N/A,N/A,2,N,Accessing a wide range of HTMl courses and their applications ,Best HTML + CSS Courses & Tutorials | Codecademy,https://www.codecademy.com/catalog/language/html-css,M,Wide array of coding material! (Specific material is inside the webpage 
N/A,Applied / Domain-Specific Resources,Intermediate,Integrated Urban Water Modeling Platform,Mazdak Arabi,N/A,N/A,,N,Modeling applications for mass balance approaches,Integrated Urban Water Modeling Platform – CSU STRATA,https://csustrata.org/technology-transfer/available-technology/integrated-urban-water-modeling-platform/,M,Advanced and specific application for modeling 
SQL,Online Courses / Structured Learning Paths,Beginner,Intro to SQL,Code Academy,N/A,N/A,2,N,Learning basic SQL Skills ,Learn SQL: Aggregate Functions | Codecademy,https://www.codecademy.com/learn/learn-sql-aggregate-functions,Y,Good for introducing students to SQL and data management 
AI,Video Courses / Structured Learning Paths,Beginner,Introduction to Artificial Intelligence,Sage Campus,N/A,N/A,1,N,Accessing Fundamental AI skills ,https://classroom.sagepub.com/course/view.php?id=67,https://classroom.sagepub.com/course/view.php?id=67,Y,Good Free AI Intro Course to compete with CSU courses 
Unix,Online Courses / Structured Learning Paths,Beginner,Introduction to Command Line,Code Academy,N/A,N/A,1,N,Accessing all around basic linux environment introductions. ,,https://www.codecademy.com/learn/intro-to-the-command-line,M,Good to introduce students to Linux which is very similar to unix 
R,Books / eBooks,Beginner,Introduction to R,Multiple authors,N/A,N/A,2,N,Accessing Foundational concepts and basics of R,https://intro2r.com/,https://intro2r.com/,Y,Decent introductory materials 
R,Applied / Domain-Specific Resources,Beginner,Introduction to R Seminar,UCLA,N/A,N/A,1,N,"Accessing R material for downloading packages, vectors, datasets, variables,and work sharing document types ",Introduction to R Seminar,https://stats.oarc.ucla.edu/r/seminars/intro/,M,Very good slideshow for R basics but not much else 
AI,Applied / Domain-Specific Resources,Advanced,Jeff Nieman: Github,Jeff Nieman,N/A,N/A,1,N,Learning how to apply code to AI and Modeling,jeff-niemann (Jeff Niemann),https://github.com/jeff-niemann/,M,Commonly types of modeling not clearly defined 
AI,Applied / Domain-Specific Resources,Intermediate,Jesse Burkhardt: Website ,Jesse Burkhardt ,N/A,N/A,1,N,Learning more about air pollution monitoring and econometric analysis,Jesse Burkhardt - Research,https://sites.google.com/site/burkhaj/home/research?authuser=0,M,Good course but it may be too specific and distantly related from our goals 
Python,Applied / Domain-Specific Resources,Advanced,Jesse Wilson: Github ,Jesse Wilson ,N/A,N/A,1,N, Learning Technical and Biological Python  Applications,wilsonjwcsu (Jesse Wilson),https://github.com/wilsonjwcsu,M,May be to specific of an application for python use 
Geospatial,Applied / Domain-Specific Resources,Intermediate,Jessica Oconnell: Github ,Jessica Oconnell,N/A,N/A,1,N,Using R for remote sensing applications,jloconnell (Jessica L O'Connell),https://github.com/jloconnell/,Y,Another good appolication for R and GIS that is more specific 
HTML,Applied / Domain-Specific Resources,Beginner,Jessica Oconnell: Github ,Jessica Oconnell,N/A,N/A,1,N,Creating a website with HTML Code,jloconnell/jloconnell.github.io: Code to generate projects page https://jloconnell.github.io,https://github.com/jloconnell/jloconnell.github.io,Y,Another good course for learing to create websites with HTML code 
N/A,Applied / Domain-Specific Resources,Beginner,JMP: Statistical Discovery ,JMP,N/A,N/A,,N,Learning to use JMP coding software for dataset analysis ,https://www.bing.com/ck/a?!&&p=08c97528ceeaaaaff317b0fbcbc4ad21c994bbbaf4b352153a9bfa16873e77e4JmltdHM9MTc3OTc1MzYwMA&ptn=3&ver=2&hsh=4&fclid=2a68803d-d7c7-641b-3466-96e4d6066551&psq=what+coding+does+JMP+software+use&u=a1aHR0cHM6Ly93d3cuam1wLmNvbS9jb250ZW50L2RhbS9qbXAvZG9jdW1lbnRzL2VuL3N1cHBvcnQvam1wMTgyL3NjcmlwdGluZy1ndWlkZS5wZGY,https://www.jmp.com/support/help/en/19.1/jmp/introduction-to-writing-jsl-scripts.shtml,M,Could be a good course but it's not the coding languages were looking for 
R,Books / eBooks,Beginner,John Volckens: Coursebook,John Volckens,N/A,N/A,1,N,Learning a wide array of R concepts ,https://smogdr.github.io/edar_coursebook/,https://smogdr.github.io/edar_coursebook/,Y,Good for getting comfortable with R concepts that are for beginners as well as advanced coders 
Geospatial,Applied / Domain-Specific Resources,Intermediate,Kai Jeffreys : Github ,Kai Jeffreys,N/A,N/A,1,N,Learning to use Python to build raster layers ,https://github.com/kaijeffreys/ForestedWetlands,https://github.com/kaijeffreys/ForestedWetlands,Y,Good application for GIS Services with python 
Geospatial,Applied / Domain-Specific Resources,Intermediate,Kai Jeffreys : Github ,Kai Jeffreys,N/A,N/A,2,N,Building raster layers using R,https://github.com/kaijeffreys/WIP,https://github.com/kaijeffreys/WIP,Y,good specific R application for GIS 
GitHub,Applied / Domain-Specific Resources,Beginner,Kai Jeffreys : Github ,Kai Jeffreys,N/A,N/A,1,N,Building a repository,short_lab4/short-lab-04_github.Rmd at main · kaijeffreys/short_lab4,https://github.com/kaijeffreys/short_lab4/blob/main/short-lab-04_github.Rmd,Y,Code provides information on how to get set up on github but not much infromation on how to build a full repo 
Excel,Applied / Domain-Specific Resources,Intermediate,Kawser Ahmed,Excel Demy ,N/A,N/A,2,N,Understanding how to write VBA Code,How to Write VBA Code in Excel (With Easy Steps) - ExcelDemy,https://www.exceldemy.com/how-to-write-vba-code-in-excel/,Y,Another good course for learning to use VBA code in excel. 
Python,Video Courses / Structured Learning Paths,New to Programming,Khan Academy - Intro to Python,Khan Academy,N/A,N/A,1,N,Introducing oneself to python  ,https://www.khanacademy.org/computing/intro-to-python-fundamentals,https://www.khanacademy.org/computing/intro-to-python-fundamentals,Y,Newbie programmers and coders 
C/C++,Online Courses / Structured Learning Paths,Beginner,Learn C++,Code Academy ,N/A,N/A,2,N,Learning how to use C++ coding,,https://www.codecademy.com/learn/learn-c-plus-plus,Y,Introduction to C coding 
N/A,Online Courses / Structured Learning Paths,New to Programming,Learn how to Code,Code Academy ,N/A,N/A,1,N,Learning the coding basics ,Learn How to Code | Codecademy,https://www.codecademy.com/learn/learn-how-to-code,Y,good course for brand new programmers 
HTML,Online Courses / Structured Learning Paths,Beginner,Learn HTML,Code Academy ,N/A,N/A,1,N,Learning the HTML coding basics,Learn HTML Code | Codecademy,https://www.codecademy.com/learn/learn-html,Y,Another good intrroduction course for HTML 
HTML,Online Courses / Structured Learning Paths,Beginner,Learn HTML: Fundamentals,Code Academy ,N/A,N/A,2,N,Fundamental HTML applications for website purposes ,Learn HTML: Fundamentals | Codecademy,https://www.codecademy.com/learn/learn-html-fundamentals,Y,good for accessing webiste applications of HTML and how to do so. 
C/C++,Online Courses / Structured Learning Paths,Intermediate,Learn Intermediate C++ ,Code Academy ,N/A,N/A,1,N,Understanding more complex C++ Concepts beyond introduction,,,Y,good advanced material for C coding 
C/C++,Online Courses / Structured Learning Paths,Intermediate,Learn Object Oriented Programming with C++,Code Academy ,N/A,N/A,1,N,Learning Object Oriented Progamming concepts with C++,,,Y,good advanced material for C coding 
